unique_id,mass,x_pos,y_pos,z_pos,vel_x,vel_y,vel_z,frame,dt
84,1.9050743852151314e+30,896835736801.7535,498310518794.8085,882796501134.3484,288418.614184811,167546.2276073338,219576.76067875797,0,10000
85,1.940344464082351e+30,776194272747.8943,736056222225.3914,567715321090.3378,278447.3306422785,231328.17387629687,286873.27214427915,0,10000
86,1.9525034213798445e+30,676606301197.4806,978970372127.9761,886711792378.2432,337166.2171218881,197998.00657907253,279939.1677187554,0,10000
87,1.5810684811046102e+30,687960310128.9974,796565466248.6235,908301229208.6713,280230.7841260414,286401.0610543965,230964.54258192054,0,10000
88,1.6704410987999367e+30,487031182126.6237,828587777522.2089,814525066637.9368,189246.2078352485,272034.47038771666,187773.19198141052,0,10000
89,1.9509790570629383e+30,688929553078.8143,611680014719.5336,773519893414.2544,199051.6925665066,213410.30950269633,294772.97444522224,0,10000
90,1.8815929970089833e+30,656889132056.5623,818282932590.8483,746951771863.3375,155334.86393632257,321463.79806632694,297469.3142898679,0,10000
91,2.0346716632412682e+30,564440272145.1355,889448877182.578,731433377792.3395,220338.96662431041,379652.64716789214,224002.5434545809,0,10000
92,1.858340100549869e+30,897255931844.6736,724889064666.4111,1056623944161.9799,428930.0277044385,270456.23485020874,232761.6868494979,0,10000
93,2.0660744740511874e+30,781139848699.719,313445997274.7684,839855675129.9874,227605.05250628572,266260.8596981836,194633.72143316208,0,10000
94,2.0464307745019626e+30,847159981877.8452,823158415596.1714,707605871848.7671,259467.58410518203,237161.4022433998,219027.57462821988,0,10000
95,1.906050079778854e+30,752716635712.243,682725041843.6666,773040770278.7864,199320.7864481143,327378.6963846096,274772.06271863735,0,10000
96,1.9213841589225692e+30,660425302017.848,709354391057.5697,715191857181.8064,230660.61089498698,195575.27080438464,236274.70721939203,0,10000
97,1.8066428856354826e+30,518821642710.8599,768563236464.3649,697332412550.3337,192400.11322215965,242153.35766936623,250998.01375872485,0,10000
98,2.2857563417873293e+30,552750269254.5284,655115968255.1332,641782244298.7212,285187.9579963445,217466.48969153033,261502.60392727712,0,10000
99,2.226794094180367e+30,875709297659.5663,819430695923.3317,739771252818.8157,293248.6290709638,223252.48112569234,264355.178783918,0,10000
0,2.1963885092562078e+30,1083133528161.1808,652291789446.278,589076106713.5125,253755.00041887315,227191.11810784403,201361.91962242487,0,10000
1,2.1600746070128388e+30,639144106592.9214,809668665451.7649,881035684495.5251,277309.1325518098,294346.7573063339,235241.0549692967,0,10000
2,1.8555588529910756e+30,831644618089.2203,624386637125.0243,732987622987.3044,269734.72341310815,229263.75528007274,212771.66390621653,0,10000
3,2.029109032925912e+30,669615160827.6975,810632824541.5101,539250555167.3742,277706.2493763434,247729.1407758706,258897.46755715928,0,10000
4,2.1576272433125491e+30,695767761290.5917,732009765942.1571,697798372186.2513,121283.92545312177,256373.23966933202,280231.0492086547,0,10000
5,2.208387821799833e+30,695880355150.7847,752513014480.1364,570624234058.7565,214698.73941952936,374246.2901157364,235679.71725451224,0,10000
6,2.186668447822915e+30,772492789038.3513,876772371599.1653,630911634403.1166,185239.49881977672,289684.28365991235,205035.31475369967,0,10000
7,1.7296007617392073e+30,706525910779.3226,872818626884.283,425655987824.2714,289769.3470075952,233921.13086013417,179517.02025606585,0,10000
8,1.994367240553372e+30,1126147591896.7153,592697717388.0251,472555265621.0683,277575.9919250176,175747.26851891875,315067.5052591966,0,10000
9,1.991113317951738e+30,963916438032.6802,1234917896742.1357,426883324539.9139,252721.39968246335,376405.8367591787,278444.1508902849,0,10000
10,1.713549134507027e+30,493595944212.2272,631423060957.1437,384106364402.79205,285362.63947738934,234528.8287397983,310933.81089292635,0,10000
11,2.2505951548858308e+30,966438090758.9633,769711311698.6051,835518537406.1813,217876.69396494233,200415.39030299088,191372.84307348647,0,10000
12,2.1939494626422257e+30,887594311850.7551,656599141858.6719,900937055724.3496,274015.042666053,280684.46793055907,197702.39476427194,0,10000
13,2.3507454826158158e+30,690947229807.8698,627432531955.5569,728213186740.3154,219459.0074848294,155594.4248485375,276102.0000605736,0,10000
14,1.8735352625477285e+30,1096554103640.1227,477935194352.9389,712892113471.8849,157617.83527362475,230409.5561649015,213961.75964782655,0,10000
15,2.2089030204617387e+30,514801677271.70483,1014512770544.7821,828237152300.2106,305030.7619065328,212039.5605317425,288273.5228220525,0,10000
