unique_id,mass,x_pos,y_pos,z_pos,vel_x,vel_y,vel_z,frame,dt
49,8.918208618496016e+28,906271890365.491,707189653685.1547,732044682961.6688,335124.6258205582,209594.29695908714,243757.5599249505,0,10000
50,6.625774491482488e+29,849583560627.5427,743687271053.2195,478531480550.3176,260972.85599658775,335367.77591356327,345484.6621843447,0,10000
51,5.922881760344454e+29,601331129189.8402,496319944252.96857,809057017284.7965,182730.44216275486,237335.97775496243,227483.7537400212,0,10000
52,9.711891722787687e+29,762405714795.5366,685060956528.1858,747801965385.272,272853.36745803134,200350.6800535202,263036.2297661467,0,10000
53,5.663366260806171e+25,1078450987367.0968,620514477956.3818,655453104164.606,226535.57941661353,240456.2569565464,225120.0127245492,0,10000
54,7.251606073116555e+29,686993023292.0856,522846340868.3902,858516206978.1274,293436.2054747349,195037.62492874367,240717.68622268795,0,10000
55,5.546830607028334e+25,938676951023.7043,869788728193.9846,863097309509.9752,271293.90988544194,226160.17701181798,108005.60509935732,0,10000
56,1.1301507656249595e+29,794362439869.218,697143781819.4452,661474835197.6709,224530.72054306438,239341.42359743,210851.36210875088,0,10000
57,1.3479368569344537e+28,437945686730.755,736097659790.1841,723120254493.4403,300487.798279829,263707.51863502886,216914.85199317607,0,10000
58,4.79346640834762e+28,573293847314.1399,708335625060.4397,572039240445.9177,180983.64009084314,253845.0064894954,229774.2920001982,0,10000
59,5.240386156449747e+23,880973786984.9163,828015670922.8348,722490879305.4636,296122.2807415742,203929.27182049322,387275.5862124868,0,10000
60,7.22129233350883e+27,696344235954.3313,833434638951.5486,627526793511.3147,225493.1487650109,280376.655209341,233445.8795529068,0,10000
61,6.5262629000271226e+28,680137073722.9816,711155253967.0544,826641293200.3618,178112.20345206,284243.5863730921,225630.23792119542,0,10000
62,1.0286160060286211e+25,905373195515.0844,632225415540.1376,771107694505.4587,327258.527232239,223540.35659199933,226945.12215951405,0,10000
63,9.336849145870551e+29,655791538223.3607,755179947563.7826,904361252918.5444,288561.12963885005,309944.91911766044,169841.18766354347,0,10000
64,9.437066061938554e+29,831343934819.3691,815868764653.1221,475995066978.9257,273127.26739680197,306402.6585179734,163122.7657246037,0,10000
65,8.340690270188671e+26,716258786818.6097,632457821966.4673,548675078140.61774,306022.30454017763,207073.16581217566,280054.0786606154,0,10000
66,4.10662903991881e+29,806067760379.7563,677910839859.7385,521396773072.5197,225514.5231250236,256906.92859161316,305436.4832146912,0,10000
67,1.0654185159853926e+29,754545762379.9814,843462903224.2665,696773779280.4038,218583.78152453533,300647.8298301591,218155.73240130863,0,10000
68,6.102083242228561e+29,787016915527.3284,863640188714.8677,552676850967.0737,295600.9146105007,155519.0093592613,229788.1910556984,0,10000
69,9.092580644052994e+29,1046083963574.289,457957519589.23535,683537510911.3657,248752.68482688317,187972.0436201074,245500.70851851438,0,10000
70,7.386069603225748e+29,938880380072.8506,893063210020.6703,758616807066.0427,286602.72290101845,184854.3360310262,129913.32362243155,0,10000
